, 36 months, 60 months,A,B,C,D,E,F,G,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,F1,F2,F3,F4,F5,G1,G2,G3,G4,G5,1 year,10+ years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,< 1 year,nan,ANY,MORTGAGE,OWN,RENT,Business,Car financing,Credit card refinancing,Debt consolidation,Green loan,Home buying,Home improvement,Major purchase,Medical expenses,Moving and relocation,Other,Vacation,loan_amnt,int_rate,installment,annual_inc,inq_last_6mths,revol_bal,total_pymnt,total_rec_late_fee,last_pymnt_amnt,acc_open_past_24mths,delinq_amnt,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,total_il_high_credit_limit
0,-0.02222420575695383,-0.019753079290043107,0.0,0.06562492356134549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031607472255393634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0073953498010310426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015864312636947486,-0.10864967959694105,0.027347494024880473,0.0,0.0,-0.008232774665887482,-0.4244870283196127,0.0,0.027047722841885266,0.0,0.0,0.0,-0.008878662342289803,0.010669338606817624,0.025581625175183365,-0.008569059899199372,0.004446950569505059
1,0.0,0.0,0.209818334683661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03593407455819153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01135163718397214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010469024036169505,0.0,0.0,0.013727468549148525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06004324841943831,0.05790026277860455,-0.023876732692522468,-0.0228482663831662,0.0,0.005599740464477088,0.2121694088044216,0.0,-0.03216749704073618,0.004669067845161523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,-0.020806327826916743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02150510722262709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01612170222175907,0.0,-0.008158451294787473,0.0,0.0,0.0,0.0,0.0,0.004688886736565928,0.0,0.0,0.0,0.0,-0.007162192615908029,0.0,0.0,0.0,0.010561821114919885,-0.0056439584177690235,0.0272177556613293,-0.02149975504260674,-0.005188512248201525,-0.042219777558838566,0.07560711128317739,0.0,-0.07434753184792178,0.012729946331912573,0.0,0.0,0.01261342815998258,0.009658900444399487,-0.00307623658823189,0.001006482029538333,-0.0016881122095908502
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025487739016697653,-0.02749401465183443,0.051575174167211885,0.0,0.0,0.0,-0.475670442698742,0.0,0.03276821083333359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,-0.1437575724646014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005964051210249862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019003962406127773,0.0,-0.010969116645257317,0.0,0.0,0.0,0.0,0.0,-0.008913646063482529,0.0,0.0,0.0,0.0,0.0,0.0,-0.011976684703403052,0.0,-0.039289236244692605,0.03616786435150295,-0.01034909071564075,-0.01017746037956932,-0.0072120334508744294,-0.008477730631385096,0.20900957555263747,0.0,-0.01753255995716831,0.0,0.0,0.0,-0.022239080588847944,0.010202295597530874,-0.004319685703026391,0.0,-0.0018644910040111484
5,0.0,0.0,0.0,0.0,0.0,-0.05848598493868126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05883159922582398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007478185589026021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03382137283771272,0.0,-0.013090039664896302,-0.021306233227608606,-0.008012207336257793,0.0,-0.163931504851259,0.0,-0.03351009728590271,-0.0025571228341383645,0.0,0.0,0.013577274944390594,0.0,-0.007085034934170564,0.0,-0.005467892218913195
6,0.006567810883579404,0.0,0.0,0.09713243828060626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06842824485379778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01992630506482443,0.1111599986804433,0.060024011509404174,0.0,0.0,0.013410402468950745,0.04524726027132413,0.0,0.03038515124899121,0.0,0.0,0.0,0.003660269938685755,0.005018123434374473,0.0016751696510426198,0.0009884680033330762,0.0030430123773093065
7,0.0,0.0,0.23502771021183672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07570961503186927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03878588617537776,0.06706630834718738,0.0868670430598869,0.0,0.0,0.01659427287854237,-0.04463722170965061,0.0,0.048185724112919784,0.0073161316550287014,0.0,0.0,-0.0253646357585407,0.007782499328875647,0.0,0.0,0.0
8,0.0,0.0,0.0,0.07594659910656175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03963572488091022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007631413676683685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01668237004513831,-0.11850976256275617,-0.014376579919722632,-0.0018312778804129848,0.0,-0.005313818910897827,-0.33306470944951516,0.0,0.04367801917657754,-0.014023436874975759,0.0,0.0,0.0,0.0,0.022060018558429845,-0.01655365906904349,0.0
9,0.0,0.0,0.25820581383733376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02299218883230364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0073498551480452035,0.0,0.0,-0.016408584266187576,0.0,0.0,0.0,0.013295229767986555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033277881896530345,0.07327652608728048,-0.03026590555802809,0.005102756364699063,-0.007680595467482745,-0.010081234578816545,0.12662992605133266,0.0,-0.019870777585747235,-0.015057650645718623,0.0,0.0,0.0,0.0,0.005205313781067256,0.0,-0.0113819362421137
